"顧客・契約管理機能","顧客情報一元管理","受講生情報（氏名、住所、メールアドレス、ヒアリング内容など）をkintoneで管理"
"顧客・契約管理機能","顧客情報一元管理","個別コンサルを受けた生徒の情報も管理対象とする"
"顧客・契約管理機能","顧客情報一元管理","受講生に紐づくタスク、入金情報、契約情報を一覧表示"
"顧客・契約管理機能","契約情報管理および進捗可視化","コース情報（コース名、料金、期間、運用ステータスなど）を管理"
"顧客・契約管理機能","契約情報管理および進捗可視化","セミナー情報（セミナー名、詳細、料金、媒体、カテゴリー、運用ステータスなど）を管理"
"顧客・契約管理機能","契約情報管理および進捗可視化","コース、セミナーの運用ステータス（運用中／停止中など）を設定・管理"
"顧客・契約管理機能","契約情報管理および進捗可視化","契約データに一意の番号を付与"
"顧客・契約管理機能","契約情報管理および進捗可視化","Timerexから入ってきた予約者と受講生リストにある受講生との結び付けを行う。受講者リスト運営とのコミュニケーション担当講師との紐づけ講師管理"
"顧客・契約管理機能","契約情報管理および進捗可視化","Timerexから予約が入った際に、受講者アプリの該当するメールアドレスが存在しない場合にも予約者情報を記録する"
"顧客・契約管理機能","契約情報管理および進捗可視化","メールアドレス(マスタ登録なし)のメールアドレスをもとに、受講生リストから予約者と思われる人物を探して、取得を実行し、登録する"
"案件管理機能","案件進捗管理","各セミナーの日程ごとの管理"
"案件管理機能","案件進捗管理","受講生情報とセミナー情報の紐付け"
"案件管理機能","案件進捗管理","受講者リストの作成"
"案件管理機能","案件進捗管理","広告情報（媒体、キャンペーン、運用ステータスなど）を管理"
"案件管理機能","案件進捗管理","講師ごとの稼働状態や評価、報酬額、面談回数、内容などを管理"
"採算管理機能","費用・利益のリアルタイム計算","受講生の入金情報を管理（複数回分割入金対応）"
"採算管理機能","費用・利益のリアルタイム計算","請求に対する過去の入金状況を一覧表示"
"採算管理機能","費用・利益のリアルタイム計算","各広告の有効性を測定し、グラフなどで可視化（第二フェーズ）"
"勤怠管理機能","勤怠データ収集・集計","講師の面談（個別コンサル）情報を管理"
"タスク管理機能","タスク管理","タスクの登録、進捗管理、担当者割り当て、期日リマインド"
"タスク管理機能","タスク管理","タスクの優先度、進行状況、担当者を設定"
"タスク管理機能","タスク管理","プロジェクトごとのタスク分類、グループ化（Asanaのタイムライン機能相当）"
"タスク管理機能","タスク管理","期日、プロジェクト期限のリマインド通知"
"タスク管理機能","タスク管理","ステータス変更時の担当者通知"
"タスク管理機能","タスク管理","タスクごとのコメント、対応履歴管理"
"タスク管理機能","タスク管理","更新者、作成者、更新日、作成日を記録"
"タスク管理機能","タスク管理","受講者、顧客情報と連携したサポート対応履歴管理"
"タスク管理機能","タスク管理","タスクカテゴリごとのタスク管理（Asanaのボード機能相当）"
"タスク管理機能","タスク管理","受講生との紐づけ受講者リストタスクカテゴリマスタとの紐づけタスクカテゴリマスタからルックアップタスクカテゴリマスタタスクカテゴリマスタタスク管理アプリのためのカテゴリマスタ（延長サポート、等）"
"システム連携・API機能","外部API連携","TimeRexとの連携"
"システム連携・API機能","外部API連携","FormBridgeアンケートの生データが流入するため、データ管理に注意(間違ったメールアドレスなど"
"ユーザーインターフェースおよび操作性向上","プラグイン連携","KanbanBoardプラグインによるAsanaのボード機能実現"
"ユーザーインターフェースおよび操作性向上","プラグイン連携","kintone 項目選択フィールド連動各種設定プラグイン"
"ユーザーインターフェースおよび操作性向上","プラグイン連携","KrewDataや条件処理分岐プラグインを利用し、計算処理や条件分岐の自動化"
